lr,step,pass,epoch,dose,input_gap,nogram_gap,net_gap,train_benefit,val_penalty
6e-05,50,0.14836795252225518,1,0.001306818181818182,-0.032793641090393066,-0.0097731351852417,-0.023020505905151367,0.8010268211364746,-0.824047327041626
6e-05,100,0.29673590504451036,1,0.0037500000000000003,-0.009703636169433594,0.01451265811920166,-0.024216294288635254,0.7829923629760742,-0.8072086572647095
6e-05,150,0.44510385756676557,1,0.00675,0.01851797103881836,-0.0014066696166992188,0.019924640655517578,0.7231450080871582,-0.7032203674316406
6e-05,200,0.5934718100890207,1,0.00975,-0.0283125638961792,-0.010366439819335938,-0.01794612407684326,0.6284232139587402,-0.6463693380355835
6e-05,250,0.7418397626112759,1,0.012750000000000001,-0.006219625473022461,-0.015503525733947754,0.009283900260925293,0.5998754501342773,-0.590591549873352
6e-05,300,0.8902077151335311,1,0.01575,-0.038376569747924805,-0.02370285987854004,-0.014673709869384766,0.5408563613891602,-0.5555300712585449
6e-05,350,1.0385756676557865,2,0.01875,0.16658997535705566,-0.03064429759979248,0.19723427295684814,0.7188887596130371,-0.521654486656189
6e-05,400,1.1869436201780414,2,0.021750000000000002,0.5982444286346436,-0.009427189826965332,0.6076716184616089,1.034801959991455,-0.4271303415298462
6e-05,450,1.3353115727002967,2,0.02475,0.7840499877929688,-0.011608362197875977,0.7956583499908447,1.1628637313842773,-0.3672053813934326
6e-05,500,1.4836795252225519,2,0.02775,0.8323508501052856,-0.0046498775482177734,0.8370007276535034,1.1686186790466309,-0.33161795139312744
6e-05,550,1.632047477744807,2,0.03075,0.8178157806396484,0.006467700004577637,0.8113480806350708,1.123666763305664,-0.31231868267059326
6e-05,600,1.7804154302670623,2,0.03375,0.8105272054672241,-0.020417094230651855,0.830944299697876,1.121931552886963,-0.2909872531890869
6e-05,650,1.9287833827893175,2,0.03675,0.7910473346710205,-0.013666510581970215,0.8047138452529907,1.0716404914855957,-0.266926646232605
6e-05,700,2.077151335311573,3,0.03975,1.090747356414795,-0.041161417961120605,1.1319087743759155,1.3342413902282715,-0.20233261585235596
6e-05,750,2.2255192878338277,3,0.04275,1.2960129976272583,-0.015537738800048828,1.3115507364273071,1.4383623600006104,-0.12681162357330322
6e-05,800,2.373887240356083,3,0.04575,1.44334077835083,0.026510000228881836,1.4168307781219482,1.4858388900756836,-0.06900811195373535
6e-05,850,2.522255192878338,3,0.04875,1.4401222467422485,-0.001305699348449707,1.4414279460906982,1.466137170791626,-0.024709224700927734
6e-05,900,2.6706231454005933,3,0.051750000000000004,1.4674807786941528,-0.022107601165771484,1.4895883798599243,1.471113681793213,0.018474698066711426
6e-05,950,2.8189910979228485,3,0.05475,1.5355161428451538,-0.0077054500579833984,1.5432215929031372,1.4889252185821533,0.05429637432098389
6e-05,1000,2.9673590504451037,3,0.05775,1.5497382879257202,0.030517935752868652,1.5192203521728516,1.4298858642578125,0.08933448791503906
6e-05,1050,3.115727002967359,4,0.06075,1.8114529848098755,0.0029447078704833984,1.808508276939392,1.6279494762420654,0.18055880069732666
6e-05,1100,3.264094955489614,4,0.06375,1.9405906200408936,0.007982254028320312,1.9326083660125732,1.6883022785186768,0.24430608749389648
6e-05,1150,3.4124629080118694,4,0.06675,2.053926706314087,0.031749725341796875,2.02217698097229,1.7177550792694092,0.30442190170288086
6e-05,1200,3.5608308605341246,4,0.06975,2.026377320289612,0.025202631950378418,2.0011746883392334,1.6583712100982666,0.3428034782409668
6e-05,1250,3.7091988130563798,4,0.07275,2.079111337661743,-0.01708841323852539,2.0961997509002686,1.7041354179382324,0.39206433296203613
6e-05,1300,3.857566765578635,4,0.07575,2.1113592386245728,-0.015689849853515625,2.1270490884780884,1.688032865524292,0.4390162229537964
6e-05,1350,4.005934718100891,5,0.07875,2.175525188446045,-0.009235382080078125,2.184760570526123,1.7060866355895996,0.47867393493652344
6e-05,1400,4.154302670623146,5,0.08175,2.3649020195007324,0.002925276756286621,2.361976742744446,1.7853960990905762,0.5765806436538696
6e-05,1450,4.3026706231454,5,0.08475,2.46651554107666,0.011315464973449707,2.4552000761032104,1.8128271102905273,0.6423729658126831
6e-05,1500,4.451038575667655,5,0.08775000000000001,2.4920092821121216,-0.014580130577087402,2.506589412689209,1.8248589038848877,0.6817305088043213
6e-05,1550,4.599406528189911,5,0.09075,2.532310962677002,0.02787601947784424,2.5044349431991577,1.8026046752929688,0.701830267906189
6e-05,1600,4.747774480712166,5,0.09375,2.577361822128296,0.0246351957321167,2.552726626396179,1.7594966888427734,0.7932299375534058
6e-05,1650,4.896142433234421,5,0.09675,2.6604602336883545,0.006236076354980469,2.654224157333374,1.8064579963684082,0.8477661609649658
6e-05,1700,5.044510385756676,6,0.09975,2.7111798524856567,0.0009568929672241211,2.7102229595184326,1.814826488494873,0.8953964710235596
6e-05,1750,5.192878338278931,6,0.10275000000000001,2.7899680137634277,-0.007566332817077637,2.7975343465805054,1.8336741924285889,0.9638601541519165
6e-05,1800,5.341246290801187,6,0.10575,2.8352450132369995,0.010297179222106934,2.8249478340148926,1.8005447387695312,1.0244030952453613
6e-05,1850,5.489614243323442,6,0.10875,2.8903677463531494,0.03783917427062988,2.8525285720825195,1.7918555736541748,1.0606729984283447
6e-05,1900,5.637982195845697,6,0.11175,2.935438871383667,-0.0004862546920776367,2.9359251260757446,1.8033168315887451,1.1326082944869995
6e-05,1950,5.786350148367952,6,0.11475,3.0084885358810425,-0.016124248504638672,3.024612784385681,1.82590913772583,1.198703646659851
6e-05,2000,5.9347181008902075,6,0.11775000000000001,3.047365427017212,0.05670797824859619,2.9906574487686157,1.7319145202636719,1.2587429285049438
6e-05,2050,6.083086053412463,7,0.12075,3.0908783674240112,0.009659647941589355,3.081218719482422,1.7549147605895996,1.3263039588928223
6e-05,2100,6.231454005934718,7,0.12375,3.1948163509368896,0.05517172813415527,3.1396446228027344,1.7424392700195312,1.3972053527832031
6e-05,2150,6.379821958456973,7,0.12675,3.2141504287719727,0.019206643104553223,3.1949437856674194,1.7308673858642578,1.4640763998031616
6e-05,2200,6.528189910979228,7,0.12975,3.2403252124786377,-0.008927345275878906,3.2492525577545166,1.7440226078033447,1.5052299499511719
6e-05,2250,6.6765578635014835,7,0.13275,3.306723117828369,0.04187309741973877,3.2648500204086304,1.7043750286102295,1.5604749917984009
6e-05,2300,6.824925816023739,7,0.13575,3.399369716644287,-0.004446268081665039,3.403815984725952,1.7809433937072754,1.6228725910186768
6e-05,2350,6.973293768545994,7,0.13875,3.436121106147766,0.01978844404220581,3.4163326621055603,1.73842191696167,1.6779107451438904
6e-05,2400,7.121661721068249,8,0.14175000000000001,3.4920836687088013,0.026349246501922607,3.4657344222068787,1.7389934062957764,1.7267410159111023
6e-05,2450,7.270029673590504,8,0.14475000000000002,3.5139836072921753,-0.011544525623321533,3.525528132915497,1.7416069507598877,1.7839211821556091
6e-05,2500,7.4183976261127595,8,0.14775,3.5771141052246094,0.06466680765151978,3.5124472975730896,1.6707823276519775,1.841664969921112
6e-05,2550,7.566765578635015,8,0.15075,3.6312484741210938,0.0052620768547058105,3.625986397266388,1.7322056293487549,1.893780767917633
6e-05,2600,7.71513353115727,8,0.15375,3.699486017227173,0.03609520196914673,3.663390815258026,1.7412660121917725,1.9221248030662537
6e-05,2650,7.863501483679525,8,0.15675,3.714203357696533,-0.022196948528289795,3.736400306224823,1.7672557830810547,1.9691445231437683
6e-05,2700,8.011869436201781,9,0.15975,3.795108199119568,0.052935242652893066,3.742172956466675,1.7092599868774414,2.0329129695892334
6e-05,2750,8.160237388724036,9,0.16275,3.815232753753662,0.0011830329895019531,3.81404972076416,1.7482471466064453,2.065802574157715
